epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3456,2.80185,4.55583,2.15407,0.40968,0.0915,0.03897,0.01699,1.97916,4.4611,1.48907,6.65532e-05,6.65532e-05,6.65532e-05
2,43.5573,1.93417,2.96784,1.54487,0.43596,0.28837,0.20896,0.08713,2.09326,2.86848,1.47996,0.000133221,0.000133221,0.000133221
3,64.8465,1.80093,2.30102,1.43961,0.54177,0.37709,0.37374,0.1584,2.05749,2.03777,1.42176,0.000198543,0.000198543,0.000198543
4,94.427,1.64689,1.95763,1.38461,0.52926,0.54229,0.50808,0.25227,1.77835,1.64545,1.34086,0.000197941,0.000197941,0.000197941
5,119.252,1.61562,1.80568,1.36978,0.60513,0.62476,0.61078,0.28142,1.83229,1.49263,1.34346,0.000195922,0.000195922,0.000195922
6,150.057,1.6173,1.70428,1.36388,0.63684,0.64054,0.63551,0.29305,1.82516,1.46267,1.36231,0.000193902,0.000193902,0.000193902
7,179.802,1.55122,1.62548,1.33929,0.71849,0.66008,0.69272,0.31443,1.82947,1.33493,1.33249,0.000191882,0.000191882,0.000191882
8,215.57,1.53149,1.51406,1.31868,0.71286,0.6976,0.71504,0.33625,1.8345,1.25694,1.32172,0.000189863,0.000189863,0.000189863
9,236.858,1.50805,1.46058,1.30932,0.72182,0.72026,0.73314,0.36592,1.71876,1.20538,1.30883,0.000187843,0.000187843,0.000187843
10,267.528,1.47695,1.38168,1.28417,0.72184,0.74305,0.7465,0.38025,1.65796,1.15247,1.2926,0.000185824,0.000185824,0.000185824
11,297.202,1.47697,1.36282,1.29613,0.75209,0.76334,0.78133,0.41125,1.62367,1.12427,1.28288,0.000183804,0.000183804,0.000183804
12,333.673,1.46023,1.33632,1.29244,0.70641,0.77219,0.77224,0.36905,1.7489,1.18065,1.30456,0.000181784,0.000181784,0.000181784
13,357.802,1.44417,1.30786,1.28693,0.76099,0.77389,0.78898,0.37192,1.80046,1.12327,1.29982,0.000179765,0.000179765,0.000179765
14,378.39,1.4061,1.25801,1.24994,0.731,0.77682,0.78746,0.3948,1.70453,1.09885,1.28315,0.000177745,0.000177745,0.000177745
15,398.648,1.41341,1.19043,1.25454,0.73791,0.78917,0.79138,0.41977,1.59058,1.06345,1.26019,0.000175726,0.000175726,0.000175726
16,419.616,1.41604,1.24478,1.27306,0.73736,0.80697,0.80185,0.43689,1.54372,1.06956,1.25391,0.000173706,0.000173706,0.000173706
17,449.783,1.40799,1.20244,1.26719,0.75482,0.77842,0.80091,0.39873,1.67309,1.06464,1.27977,0.000171686,0.000171686,0.000171686
18,473.894,1.43173,1.19101,1.26664,0.76024,0.77327,0.81131,0.41861,1.63777,1.04608,1.27278,0.000169667,0.000169667,0.000169667
19,494.619,1.42329,1.17214,1.25887,0.79905,0.77524,0.81843,0.45717,1.48309,0.99855,1.24402,0.000167647,0.000167647,0.000167647
20,515.837,1.3939,1.16135,1.26319,0.77249,0.79568,0.81687,0.42618,1.63443,1.02159,1.27703,0.000165628,0.000165628,0.000165628
21,540.793,1.376,1.14147,1.24357,0.73142,0.84291,0.82345,0.43208,1.61904,1.00736,1.26813,0.000163608,0.000163608,0.000163608
22,562.898,1.39172,1.1393,1.25816,0.78394,0.7828,0.81562,0.46748,1.43079,1.01281,1.24753,0.000161588,0.000161588,0.000161588
23,588.884,1.40208,1.09381,1.24514,0.76483,0.81133,0.81089,0.3864,1.73528,1.02536,1.27844,0.000159569,0.000159569,0.000159569
24,609.266,1.36701,1.10911,1.25482,0.77553,0.82074,0.82595,0.43048,1.61452,1.00965,1.26723,0.000157549,0.000157549,0.000157549
25,630.857,1.39319,1.12696,1.23426,0.78393,0.79758,0.81636,0.45189,1.52814,0.98658,1.25026,0.00015553,0.00015553,0.00015553
26,651.161,1.38216,1.09384,1.25499,0.75364,0.82401,0.82642,0.41577,1.66989,1.01562,1.28357,0.00015351,0.00015351,0.00015351
